+--------+---------------------+-----------------+
| idlogs | data_hora           | dados_recebidos |
|    164 | 2023-10-25 20:12:44 |           11112 |
|    165 | 2023-10-25 21:22:03 |           11112 |
|    166 | 2023-10-25 22:41:58 |         1111112 |
|    167 | 2023-10-25 23:21:21 |               2 |
|    168 | 2023-10-25 23:22:15 |           11112 |
|    169 | 2023-10-26 09:01:52 |               2 |
|    170 | 2023-10-26 09:05:45 |               2 |
|    171 | 2023-10-26 09:10:27 |           11112 |
|    172 | 2023-10-26 09:10:40 |               6 |
|    173 | 2023-10-26 09:23:42 |         1111112 |
|    174 | 2023-10-26 09:44:18 |               2 |
|    175 | 2023-10-26 10:30:44 |               6 |
|    176 | 2023-10-26 10:47:16 |         1111112 |
|    177 | 2023-10-26 10:57:17 |               6 |
|    178 | 2023-10-26 11:54:04 |               2 |
|    179 | 2023-10-26 11:58:04 |               2 |
|    180 | 2023-10-26 12:23:30 |               2 |
|    181 | 2023-10-26 12:46:31 |           11112 |
|    182 | 2023-10-26 13:24:49 |             312 |
|    183 | 2023-10-26 14:13:15 |               2 |
|    184 | 2023-10-26 14:13:21 |               6 |
|    185 | 2023-10-26 14:17:20 |               6 |
|    186 | 2023-10-26 15:04:41 |           11112 |
|    187 | 2023-10-26 15:21:36 |         1111112 |
|    188 | 2023-10-26 15:32:39 |               6 |
|    189 | 2023-10-26 15:33:11 |             311 |
|    190 | 2023-10-26 15:46:50 |               2 |
|    191 | 2023-10-26 16:24:27 |               6 |
|    192 | 2023-10-26 16:28:35 |         1111112 |
|    193 | 2023-10-26 18:14:28 |               6 |
|    194 | 2023-10-26 19:56:47 |               2 |
|    195 | 2023-10-26 21:42:34 |             112 |
|    196 | 2023-10-27 08:49:49 |               2 |
|    197 | 2023-10-27 08:58:46 |               6 |
|    198 | 2023-10-27 09:04:28 |               2 |
|    199 | 2023-10-27 09:28:10 |           11112 |
|    200 | 2023-10-27 11:09:13 |             311 |
|    201 | 2023-10-27 11:43:14 |               6 |
|    202 | 2023-10-27 12:42:46 |               6 |
|    203 | 2023-10-27 13:21:15 |               2 |
|    204 | 2023-10-27 13:23:14 |           11112 |
|    205 | 2023-10-27 13:44:34 |               2 |
|    206 | 2023-10-27 13:45:04 |               2 |
|    207 | 2023-10-27 14:55:27 |               2 |
|    208 | 2023-10-27 14:57:53 |               6 |
|    209 | 2023-10-27 15:00:46 |               6 |
|    210 | 2023-10-27 19:23:45 |             311 |
|    211 | 2023-10-27 20:02:41 |             311 |
|    212 | 2023-10-27 20:32:04 |             312 |
|    213 | 2023-10-28 05:31:27 |         1111112 |
|    214 | 2023-10-28 09:44:15 |         1111112 |
|    215 | 2023-10-28 10:11:26 |           11112 |
|    216 | 2023-10-28 15:37:00 |           11112 |
|    217 | 2023-10-28 16:14:23 |         1111112 |
|    218 | 2023-10-28 17:17:02 |         1111112 |
|    219 | 2023-10-28 18:51:13 |             411 |
|    220 | 2023-10-29 12:22:56 |               2 |
|    221 | 2023-10-29 12:27:18 |               2 |
|    222 | 2023-10-29 15:57:18 |           11112 |
|    223 | 2023-10-29 22:18:39 |             312 |
|    224 | 2023-10-30 08:29:19 |               2 |
|    225 | 2023-10-30 09:00:06 |               2 |
|    226 | 2023-10-30 09:23:01 |               2 |
|    227 | 2023-10-30 09:23:48 |               6 |
|    228 | 2023-10-30 09:31:18 |               6 |
|    229 | 2023-10-30 09:52:44 |             112 |
|    230 | 2023-10-30 09:54:27 |               2 |
|    231 | 2023-10-30 10:04:01 |         1111112 |
|    232 | 2023-10-30 10:37:41 |               6 |
|    233 | 2023-10-30 10:41:15 |         1111112 |
|    234 | 2023-10-30 11:12:07 |               6 |
|    235 | 2023-10-30 11:38:33 |         1111112 |
|    236 | 2023-10-30 11:46:36 |               2 |
|    237 | 2023-10-30 12:06:08 |               6 |
|    238 | 2023-10-30 12:16:20 |               2 |
|    239 | 2023-10-30 12:27:24 |               2 |
|    240 | 2023-10-30 12:31:13 |               2 |
|    241 | 2023-10-30 13:30:54 |               6 |
|    242 | 2023-10-30 13:54:53 |               2 |
|    243 | 2023-10-30 15:08:30 |               6 |
|    244 | 2023-10-30 15:19:39 |               2 |
|    245 | 2023-10-30 15:36:58 |               2 |
|    246 | 2023-10-30 16:02:02 |               2 |
|    247 | 2023-10-30 16:55:39 |               2 |
|    248 | 2023-10-30 16:55:52 |               2 |
|    249 | 2023-10-30 16:56:09 |               2 |
|    250 | 2023-10-30 17:56:04 |               6 |
|    251 | 2023-10-30 21:03:37 |               6 |
|    252 | 2023-10-30 21:09:06 |             112 |
|    253 | 2023-10-31 08:35:54 |         1111112 |
|    254 | 2023-10-31 09:32:01 |               2 |
|    255 | 2023-10-31 10:24:25 |             312 |
|    256 | 2023-10-31 11:16:10 |             312 |
|    257 | 2023-10-31 12:02:08 |               2 |
|    258 | 2023-10-31 12:20:52 |               2 |
|    259 | 2023-10-31 12:21:17 |             112 |
|    260 | 2023-10-31 12:49:08 |               6 |
|    261 | 2023-10-31 12:50:01 |               6 |
|    262 | 2023-10-31 13:44:22 |               6 |
|    263 | 2023-10-31 16:00:28 |               2 |
|    264 | 2023-10-31 16:13:14 |         1111112 |
|    265 | 2023-10-31 16:33:23 |             315 |
|    266 | 2023-10-31 17:11:43 |         1111112 |
|    267 | 2023-10-31 20:16:17 |             311 |
|    268 | 2023-10-31 22:24:35 |               6 |
|    269 | 2023-11-01 10:00:48 |         1111112 |
|    270 | 2023-11-01 10:20:54 |         1111112 |
|    271 | 2023-11-01 10:55:52 |               6 |
|    272 | 2023-11-01 11:00:33 |           11112 |
|    273 | 2023-11-01 11:54:16 |               6 |
|    274 | 2023-11-01 12:06:35 |               2 |
|    275 | 2023-11-01 13:03:19 |               2 |
|    276 | 2023-11-01 13:32:22 |               2 |
|    277 | 2023-11-01 13:40:20 |         1111112 |
|    278 | 2023-11-01 13:40:52 |               6 |
|    279 | 2023-11-01 13:48:47 |             311 |
|    280 | 2023-11-01 14:59:14 |               2 |
|    281 | 2023-11-01 16:22:31 |         1111112 |
|    282 | 2023-11-01 17:04:55 |               6 |
|    283 | 2023-11-01 17:05:13 |               2 |
|    284 | 2023-11-01 20:39:46 |           11112 |
|    285 | 2023-11-01 20:40:04 |         1111112 |
|    286 | 2023-11-02 00:34:15 |               6 |
|    287 | 2023-11-02 00:34:55 |           11112 |
|    288 | 2023-11-02 18:56:29 |               6 |
|    289 | 2023-11-03 04:05:04 |             312 |
|    290 | 2023-11-03 06:47:39 |               2 |
|    291 | 2023-11-03 07:48:22 |         1111112 |
|    292 | 2023-11-03 07:48:47 |               6 |
|    293 | 2023-11-03 08:00:44 |               2 |
|    294 | 2023-11-03 08:24:00 |               2 |
|    295 | 2023-11-03 08:48:36 |               6 |
|    296 | 2023-11-03 09:03:46 |               6 |
|    297 | 2023-11-03 10:00:35 |               6 |
|    298 | 2023-11-03 10:20:21 |               6 |
|    299 | 2023-11-03 10:39:15 |               6 |
|    300 | 2023-11-03 10:45:09 |             312 |
|    301 | 2023-11-03 10:53:22 |         1111112 |
|    302 | 2023-11-03 10:57:06 |               6 |
|    303 | 2023-11-03 12:12:12 |               6 |
|    304 | 2023-11-03 14:02:15 |               2 |
|    305 | 2023-11-03 14:26:56 |               6 |
|    306 | 2023-11-03 14:28:42 |         1111112 |
|    307 | 2023-11-03 14:50:27 |               2 |
|    308 | 2023-11-03 14:53:43 |               6 |
|    309 | 2023-11-03 14:58:59 |               2 |
|    310 | 2023-11-03 15:00:57 |               2 |
|    311 | 2023-11-03 16:26:53 |           11112 |
|    312 | 2023-11-03 16:28:53 |               2 |
|    313 | 2023-11-03 16:54:23 |             311 |
|    314 | 2023-11-03 19:02:50 |               6 |
|    315 | 2023-11-03 20:14:53 |               6 |
|    316 | 2023-11-04 09:56:48 |               6 |
|    317 | 2023-11-04 09:57:02 |               2 |
|    318 | 2023-11-04 10:16:42 |             311 |
|    319 | 2023-11-04 14:54:33 |               6 |
|    320 | 2023-11-04 14:56:33 |             315 |
|    321 | 2023-11-04 17:41:59 |             318 |
|    322 | 2023-11-04 18:28:07 |           11112 |
|    323 | 2023-11-04 18:28:50 |             314 |
|    324 | 2023-11-04 20:29:15 |         1111112 |
|    325 | 2023-11-05 00:54:01 |           11112 |
|    326 | 2023-11-05 11:21:59 |               2 |
|    327 | 2023-11-05 11:24:13 |               6 |
|    328 | 2023-11-05 14:54:34 |               6 |
|    329 | 2023-11-05 15:37:23 |           11112 |
|    330 | 2023-11-05 16:40:14 |               6 |
|    331 | 2023-11-05 18:47:31 |               2 |
|    332 | 2023-11-06 08:22:24 |         1111112 |
|    333 | 2023-11-06 09:11:30 |               6 |
|    334 | 2023-11-06 09:16:29 |               6 |
|    335 | 2023-11-06 09:42:10 |               6 |
|    336 | 2023-11-06 09:56:18 |               2 |
|    337 | 2023-11-06 10:10:21 |           11112 |
|    338 | 2023-11-06 10:18:50 |             318 |
|    339 | 2023-11-06 10:38:04 |         1111112 |
|    340 | 2023-11-06 10:47:45 |               6 |
|    341 | 2023-11-06 10:53:01 |               6 |
|    342 | 2023-11-06 11:03:04 |           11112 |
|    343 | 2023-11-06 11:24:16 |               2 |
|    344 | 2023-11-06 12:15:06 |               6 |
|    345 | 2023-11-06 12:16:37 |               2 |
|    346 | 2023-11-06 12:39:53 |             312 |
|    347 | 2023-11-06 12:40:43 |             112 |
|    348 | 2023-11-06 12:46:38 |               2 |
|    349 | 2023-11-06 14:57:38 |               2 |
|    350 | 2023-11-06 14:58:25 |               6 |
|    351 | 2023-11-06 15:35:59 |               6 |
|    352 | 2023-11-06 15:39:28 |               6 |
|    353 | 2023-11-06 15:40:28 |               2 |
|    354 | 2023-11-06 15:40:44 |             312 |
|    355 | 2023-11-06 16:07:49 |               2 |
|    356 | 2023-11-06 16:20:40 |         1111112 |
|    357 | 2023-11-06 17:31:52 |           11112 |
|    358 | 2023-11-06 20:15:18 |           11112 |
|    359 | 2023-11-06 21:01:08 |           11112 |
|    360 | 2023-11-06 21:35:47 |               2 |
|    361 | 2023-11-07 09:10:33 |               2 |
|    362 | 2023-11-07 09:22:48 |               6 |
|    363 | 2023-11-07 10:05:32 |               2 |
|    364 | 2023-11-07 10:28:16 |         1111112 |
|    365 | 2023-11-07 10:32:57 |               2 |
|    366 | 2023-11-07 10:40:12 |               6 |
|    367 | 2023-11-07 11:54:40 |               6 |
|    368 | 2023-11-07 12:20:15 |           11112 |
|    369 | 2023-11-07 14:00:37 |             312 |
|    370 | 2023-11-07 14:46:14 |               2 |
|    371 | 2023-11-07 15:19:23 |             314 |
|    372 | 2023-11-07 15:33:11 |             112 |
|    373 | 2023-11-07 15:48:59 |               2 |
|    374 | 2023-11-07 15:53:37 |               2 |
|    375 | 2023-11-07 15:53:51 |               2 |
|    376 | 2023-11-07 15:54:10 |           11112 |
|    377 | 2023-11-07 15:55:26 |               2 |
|    378 | 2023-11-07 16:41:56 |         1111112 |
|    379 | 2023-11-07 20:41:07 |               2 |
