idlogs,data,hora,dados_recebidos
+--------+---------------------+-----------------+
idlogs,data_hora,dados_recebidos
+--------+---------------------+-----------------+
358,2023-11-06,20:15:18,111121
359,2023-11-06,21:01:08,111121
360,2023-11-06,21:35:47,21
361,2023-11-07,09:10:33,21
362,2023-11-07,09:22:48,61
363,2023-11-07,10:05:32,21
364,2023-11-07,10:28:16,11111121
365,2023-11-07,10:32:57,21
366,2023-11-07,10:40:12,61
367,2023-11-07,11:54:40,61
368,2023-11-07,12:20:15,111121
369,2023-11-07,14:00:37,3121
370,2023-11-07,14:46:14,21
371,2023-11-07,15:19:23,3141
372,2023-11-07,15:33:11,1121
373,2023-11-07,15:48:59,21
374,2023-11-07,15:53:37,21
375,2023-11-07,15:53:51,21
376,2023-11-07,15:54:10,111121
377,2023-11-07,15:55:26,21
378,2023-11-07,16:41:56,11111121
379,2023-11-07,20:41:07,21
380,2023-11-07,20:54:12,21
381,2023-11-07,22:02:02,3111
382,2023-11-07,22:19:31,3131
383,2023-11-07,22:20:20,1121
384,2023-11-08,07:20:07,3111
385,2023-11-08,09:10:20,11111121
386,2023-11-08,09:36:04,21
387,2023-11-08,09:36:45,61
388,2023-11-08,10:08:19,3111
389,2023-11-08,10:08:48,21
390,2023-11-08,10:47:16,21
391,2023-11-08,10:48:50,21
392,2023-11-08,10:49:59,3141
393,2023-11-08,11:01:07,21
394,2023-11-08,11:43:54,21
395,2023-11-08,12:02:18,61
396,2023-11-08,12:07:06,21
397,2023-11-08,12:42:29,61
398,2023-11-08,13:03:39,11111121
399,2023-11-08,13:49:24,21
400,2023-11-08,13:52:37,61
401,2023-11-08,13:53:29,11111121
402,2023-11-08,13:56:56,61
403,2023-11-08,14:48:40,61
404,2023-11-08,14:57:18,11111121
405,2023-11-08,15:57:21,111121
406,2023-11-08,16:43:54,21
407,2023-11-08,16:44:22,11111121
408,2023-11-08,17:24:33,61
409,2023-11-08,17:36:49,21
410,2023-11-08,17:42:04,21
411,2023-11-08,18:29:38,21
412,2023-11-08,18:31:30,21
413,2023-11-08,18:54:04,11111121
414,2023-11-08,18:54:22,61
415,2023-11-08,20:48:25,21
416,2023-11-08,20:48:29,21
417,2023-11-08,20:55:15,1121
418,2023-11-08,20:59:56,21
419,2023-11-09,01:18:05,21
420,2023-11-09,07:49:06,21
421,2023-11-09,07:49:35,61
422,2023-11-09,08:45:49,11111121
423,2023-11-09,09:02:01,111121
424,2023-11-09,10:15:54,21
425,2023-11-09,10:16:21,11111121
426,2023-11-09,10:18:13,61
427,2023-11-09,11:31:03,61
428,2023-11-09,12:08:58,21
429,2023-11-09,12:13:05,21
430,2023-11-09,14:22:47,1121
431,2023-11-09,14:23:55,111121
432,2023-11-09,15:02:13,61
433,2023-11-09,15:14:40,111121
434,2023-11-09,15:15:40,511131
435,2023-11-09,15:15:44,11111121
